year,station_key,station_jp,band_id,band_from_km,band_to_km,n_obs,mean_price,med_price,p25_price,p75_price,mean_price_w
2009,三島,三島,"[0,1)",0,1,68,204000,181000,171250,213750,204000
2009,三島,三島,"[1,3)",1,3,353,135181.30311614726,128000,103000,142000,135181.30311614726
2009,三島,三島,"[3,5)",3,5,574,162316.202090592,126000,103000,149000,162316.202090592
2009,三河安城,三河安城,"[0,1)",0,1,34,122000,122000,116000,128000,122000
2009,三河安城,三河安城,"[1,3)",1,3,270,126753.70370370371,131000,124000,134750,126753.70370370371
2009,三河安城,三河安城,"[3,5)",3,5,579,118639.89637305697,125000,116000,134000,118748.53195164079
2009,京都,京都,"[0,1)",0,1,85,315600,264000,196000,375000,315600
2009,京都,京都,"[1,3)",1,3,641,529020.2808112314,276000,198000,550000,529020.2808112314
2009,京都,京都,"[3,5)",3,5,1203,404766.4172901093,256000,192000,414000,404766.4172901093
2009,名古屋,名古屋,"[0,1)",0,1,119,2565857.14285714,787000,355000,5400000,2565857.14285714
2009,名古屋,名古屋,"[1,3)",1,3,758,838168.8654353549,242000,170000,692000,838168.8654353549
2009,名古屋,名古屋,"[3,5)",3,5,1638,501755.0061050064,210000,148000,330000,501755.0061050064
2009,品川,品川,"[0,1)",0,1,102,1442500,1090000,905000,2050000,1442500
2009,品川,品川,"[1,3)",1,3,606,1321227.7227722767,1045000,712750,1800000,1321227.7227722767
2009,品川,品川,"[3,5)",3,5,1514,2216060.1056803064,1140000,715000,2675000,2201264.861294588
2009,小田原,小田原,"[0,1)",0,1,102,213500,172500,148000,255000,213500
2009,小田原,小田原,"[1,3)",1,3,232,174224.1379310345,147000,137000,178000,174224.1379310345
2009,小田原,小田原,"[3,5)",3,5,360,184955.5555555553,139000,127000,167000,184955.5555555553
2009,岐阜羽島,岐阜羽島,"[0,1)",0,1,68,46325,45100,37350,54075,46450
2009,岐阜羽島,岐阜羽島,"[1,3)",1,3,217,45390.783410138254,47800,38700,51500,46070.0460829493
2009,岐阜羽島,岐阜羽島,"[3,5)",3,5,344,43996.220930232565,46100,38000,51500,45265.697674418596
2009,掛川,掛川,"[0,1)",0,1,102,92583.33333333331,75000,69000,115000,92583.33333333331
2009,掛川,掛川,"[1,3)",1,3,198,160909.59595959572,66500,52500,75000,160909.59595959572
2009,掛川,掛川,"[3,5)",3,5,226,140079.6460176991,64500,51000,75000,140410.6194690268
2009,新大阪,新大阪,"[0,1)",0,1,85,538200,530000,250000,699000,538200
2009,新大阪,新大阪,"[1,3)",1,3,522,360963.6015325668,250000,217000,515000,360963.6015325668
2009,新大阪,新大阪,"[3,5)",3,5,1499,472446.96464309684,260000,217000,460000,472446.96464309684
2009,新富士,新富士,"[0,1)",0,1,51,81166.66666666667,79500,73000,91000,81166.66666666667
2009,新富士,新富士,"[1,3)",1,3,337,95082.78931750741,99000,82400,108000,95082.78931750741
2009,新富士,新富士,"[3,5)",3,5,490,85079.18367346941,79500,73000,102000,85079.18367346941
2009,新横浜,新横浜,"[0,1)",0,1,51,724666.6666666666,307000,307000,1560000,724666.6666666666
2009,新横浜,新横浜,"[1,3)",1,3,388,335054.12371134025,263000,225000,333000,335054.12371134025
2009,新横浜,新横浜,"[3,5)",3,5,1082,461209.79667282896,272000,222000,349000,461209.79667282896
2009,東京,東京,"[0,1)",0,1,238,9367857.142857144,6725000,2520000,12600000,7217857.1428571455
2009,東京,東京,"[1,3)",1,3,1346,3710916.7904903195,1830000,1130000,4100000,3335433.8781575058
2009,東京,東京,"[3,5)",3,5,2510,2538913.1474103513,1300000,773000,2520000,2338116.334661369
2009,浜松,浜松,"[0,1)",0,1,153,206555.5555555556,221000,119000,243000,206555.5555555556
2009,浜松,浜松,"[1,3)",1,3,484,127136.36363636373,103000,90300,119000,127136.36363636373
2009,浜松,浜松,"[3,5)",3,5,923,104537.05308775736,88300,79600,104000,104537.05308775736
2009,熱海,熱海,"[0,1)",0,1,68,107400,109600,67500,149500,107400
2009,熱海,熱海,"[1,3)",1,3,115,87532.17391304349,70200,59400,149000,87532.17391304349
2009,熱海,熱海,"[3,5)",3,5,214,97605.60747663549,73000,59400,149000,97605.60747663549
2009,米原,米原,"[0,1)",0,1,34,74450,74450,70500,78400,74450
2009,米原,米原,"[1,3)",1,3,66,59253.03030303031,62300,36275,70500,61390.9090909091
2009,米原,米原,"[3,5)",3,5,132,50852.27272727274,64200,16800,70700,56893.93939393939
2009,豊橋,豊橋,"[0,1)",0,1,187,173909.09090909097,120000,89500,152000,173909.09090909097
2009,豊橋,豊橋,"[1,3)",1,3,414,131646.13526570046,106000,95000,121000,131646.13526570046
2009,豊橋,豊橋,"[3,5)",3,5,655,111672.97709923646,93300,81200,112000,111727.48091603041
2009,静岡,静岡,"[0,1)",0,1,204,513000,318500,195500,630250,513000
2009,静岡,静岡,"[1,3)",1,3,685,263539.27007299254,170000,153000,214000,263539.27007299254
2009,静岡,静岡,"[3,5)",3,5,979,219710.62308478076,159000,121000,196000,219710.62308478076
2010,三島,三島,"[0,1)",0,1,68,202750,179500,169750,212500,202750
2010,三島,三島,"[1,3)",1,3,353,134579.0368271955,128000,103000,142000,134579.0368271955
2010,三島,三島,"[3,5)",3,5,574,160990.94076655046,126000,102000,149000,160990.94076655046
2010,三河安城,三河安城,"[0,1)",0,1,34,122000,122000,116000,128000,122000
2010,三河安城,三河安城,"[1,3)",1,3,270,126407.4074074074,131000,123000,134750,126407.4074074074
2010,三河安城,三河安城,"[3,5)",3,5,579,118490.84628670117,125000,116000,133000,118646.45941278068
2010,京都,京都,"[0,1)",0,1,85,307000,257000,191000,367000,307000
2010,京都,京都,"[1,3)",1,3,641,507790.9516380654,263000,191000,540000,507790.9516380654
2010,京都,京都,"[3,5)",3,5,1203,390016.6251039077,247000,187000,414000,390016.6251039077
2010,名古屋,名古屋,"[0,1)",0,1,119,2339428.571428573,720000,339000,4900000,2339428.571428573
