year,station_key,station_jp,n_obs_total,mean_of_means,median_of_med
2009,三島,三島,995,167165.8350689131,145000
2009,三河安城,三河安城,883,122464.53335892022,126000
2009,京都,京都,1929,416462.2327004469,265333.3333333333
2009,名古屋,名古屋,2515,1301927.0047991672,413000
2009,品川,品川,2222,1659929.276150861,1091666.6666666667
2009,小田原,小田原,694,190893.2311621966,152833.33333333334
2009,岐阜羽島,岐阜羽島,629,45237.33478012361,46333.333333333336
2009,掛川,掛川,526,131190.85843687603,68666.66666666667
2009,新大阪,新大阪,2106,457203.5220585546,346666.6666666667
2009,新富士,新富士,878,87109.54655254784,86000
2009,新横浜,新横浜,1521,506976.8623502786,280666.6666666667
2009,東京,東京,4094,5205895.693585938,3285000
2009,浜松,浜松,1560,146076.32409322556,137433.33333333334
2009,熱海,熱海,397,97512.59379655965,84266.66666666667
2009,米原,米原,232,61518.434343434354,66983.33333333333
2009,豊橋,豊橋,1256,139076.0677580093,106433.33333333333
2009,静岡,静岡,1868,332083.29771925777,215833.33333333334
2010,三島,三島,995,166106.65919791532,144500
2010,三河安城,三河安城,883,122299.41789803619,126000
2010,京都,京都,1929,401602.5255806577,255666.66666666666
2010,名古屋,名古屋,2499,1190817.54983507,385333.3333333333
2010,品川,品川,2222,1540355.5215495105,1053333.3333333333
2010,小田原,小田原,694,186446.11430395904,150166.66666666666
2010,岐阜羽島,岐阜羽島,462,44688.506658211794,46066.666666666664
2010,掛川,掛川,526,127573.10419832556,67400
2010,新大阪,新大阪,2106,423128.6802525647,338333.3333333333
2010,新富士,新富士,878,85462.13952643373,84333.33333333333
2010,新横浜,新横浜,1521,481554.7070356743,273666.6666666667
2010,東京,東京,4094,4608183.553199645,2965000
2010,浜松,浜松,1560,143451.79224199706,136400
2010,熱海,熱海,397,95683.20330488963,82966.66666666667
2010,米原,米原,232,60228.78787878788,65766.66666666667
2010,豊橋,豊橋,1273,138158.81021655485,106500
2010,静岡,静岡,1852,320812.05595611455,207833.33333333334
2011,三島,三島,1011,160938.44070055967,143000
2011,三河安城,三河安城,899,128130.04689108468,128333.33333333333
2011,京都,京都,1912,395239.4182782497,249666.66666666666
2011,名古屋,名古屋,2482,1172626.9219477607,376666.6666666667
2011,品川,品川,2222,1465934.8967468634,1023333.3333333334
2011,小田原,小田原,694,183268.72924648784,147833.33333333334
2011,岐阜羽島,岐阜羽島,479,43245.706089664774,45016.666666666664
2011,掛川,掛川,526,124119.25300199633,66383.33333333333
2011,新大阪,新大阪,1972,418145.6354460829,333000
2011,新富士,新富士,878,83184.31498415391,82133.33333333333
2011,新横浜,新横浜,1521,474282.0616651109,270333.3333333333
2011,東京,東京,4094,4470262.218514318,2883333.3333333335
2011,浜松,浜松,1576,141768.1545802105,135400
2011,熱海,熱海,397,93821.85629148044,81150
2011,米原,米原,232,59699.49494949495,64900
2011,豊橋,豊橋,1273,137735.55815661798,106333.33333333333
2011,静岡,静岡,1852,310617.54491017957,204500
2012,三島,三島,1011,160401.95135149386,143000
2012,三河安城,三河安城,882,131942.93592101143,131666.66666666666
2012,京都,京都,1912,392976.9443998665,248000
2012,名古屋,名古屋,2482,1187644.6532167145,376000
2012,品川,品川,2222,1451826.9516701356,1021666.6666666666
2012,小田原,小田原,678,183001.77228055868,147333.33333333334
2012,岐阜羽島,岐阜羽島,479,42272.694041472,43916.666666666664
2012,掛川,掛川,526,120687.55549596263,65716.66666666667
2012,新大阪,新大阪,1972,416272.7647968698,331333.3333333333
2012,新富士,新富士,878,81876.76026295782,80233.33333333333
2012,新横浜,新横浜,1521,475602.9736837086,269000
2012,東京,東京,4094,4423472.344824343,2836666.6666666665
2012,浜松,浜松,1576,168682.55527989584,137766.66666666666
2012,熱海,熱海,397,92349.9363402411,79666.66666666667
2012,米原,米原,249,59060.850111856824,64150
2012,豊橋,豊橋,1273,137713.6335534433,106333.33333333333
2012,静岡,静岡,1852,308323.01315735903,202833.33333333334
2013,三島,三島,1011,160582.6503273149,143666.66666666666
2013,三河安城,三河安城,848,137308.4783710713,137000
2013,京都,京都,1912,397020.16847621603,248666.66666666666
2013,名古屋,名古屋,2381,1242937.162676031,391333.3333333333
2013,品川,品川,2206,1533759.5187223023,1066666.6666666667
2013,小田原,小田原,694,181046.51979565775,145833.33333333334
2013,岐阜羽島,岐阜羽島,447,43044.75880758808,45366.666666666664
2013,掛川,掛川,526,119231.5872590209,65516.666666666664
2013,新大阪,新大阪,1972,424029.8520215455,335000
2013,新富士,新富士,878,80670.62428928049,79133.33333333333
2013,新横浜,新横浜,1521,492325.0461048543,274333.3333333333
2013,東京,東京,4060,4536763.991560901,2871666.6666666665
2013,浜松,浜松,1609,168001.89848697325,138833.33333333334
2013,熱海,熱海,397,91516.03751862387,78750
2013,米原,米原,249,58719.20886719544,63566.666666666664
2013,豊橋,豊橋,1190,139477.8181367717,106866.66666666667
2013,静岡,静岡,1868,302235.24662707926,205666.66666666666
2014,三島,三島,995,160508.62383733504,142000
2014,三河安城,三河安城,782,139968.32437275987,142333.33333333334
2014,京都,京都,1912,409530.78908991144,255333.33333333334
2014,名古屋,名古屋,2314,1365575.3135394128,638666.6666666666
2014,品川,品川,2222,1608063.8520336438,1106666.6666666667
2014,小田原,小田原,646,184110.9229388193,146333.33333333334
2014,岐阜羽島,岐阜羽島,447,42482.108401084,44766.666666666664
2014,掛川,掛川,526,118129.73987664246,65750
2014,新大阪,新大阪,1889,482377.88437482936,339000
2014,新富士,新富士,878,79409.40350027251,77900
2014,新横浜,新横浜,1521,512451.65395210136,282333.3333333333
2014,東京,東京,4060,4858470.2461682055,3036666.6666666665
2014,浜松,浜松,1592,169007.13729085066,140533.33333333334
2014,熱海,熱海,397,91138.74238114589,78083.33333333333
2014,米原,米原,249,58403.60314554946,62833.333333333336
2014,豊橋,豊橋,1123,144408.41171814525,110333.33333333333
2014,静岡,静岡,1868,305038.79491572885,209666.66666666666
2015,三島,三島,995,161291.3943326845,142666.66666666666
2015,三河安城,三河安城,782,141968.48070616944,144333.33333333334
2015,京都,京都,1912,434114.79507409653,261666.66666666666
2015,名古屋,名古屋,2362,1433027.2747637657,472000
2015,品川,品川,2221,1729395.0753173835,1146666.6666666667
2015,小田原,小田原,646,183357.93377569242,145333.33333333334
2015,岐阜羽島,岐阜羽島,430,42112.565744784086,44400
2015,掛川,掛川,526,116895.28023598823,65533.333333333336
2015,新大阪,新大阪,1872,508696.98834400147,345333.3333333333
2015,新富士,新富士,878,78616.69593653486,77466.66666666667
2015,新横浜,新横浜,1521,527030.2180002679,288666.6666666667
2015,東京,東京,4076,5294381.561412968,3240000
2015,浜松,浜松,1609,170074.75844714663,142533.33333333334
2015,熱海,熱海,397,90809.43654341054,77516.66666666667
2015,米原,米原,249,58091.800555894515,62133.333333333336
2015,豊橋,豊橋,1123,145116.296627929,112666.66666666667
2015,静岡,静岡,1868,308239.6424236863,211000
2016,三島,三島,995,161953.9623621026,143666.66666666666
2016,三河安城,三河安城,782,143267.59561122552,145666.66666666666
2016,京都,京都,1912,483479.09446226,271666.6666666667
2016,名古屋,名古屋,2394,1675270.389050784,523000
2016,品川,品川,2205,1891128.6687852764,1173333.3333333333
2016,小田原,小田原,646,182262.64934247662,144000
2016,岐阜羽島,岐阜羽島,430,41862.235807860256,44166.666666666664
2016,掛川,掛川,526,115251.61645958107,65150
2016,新大阪,新大阪,1838,545843.6740562901,352000
2016,新富士,新富士,878,77733.95143220494,76600
2016,新横浜,新横浜,1538,595060.7349490899,295333.3333333333
2016,東京,東京,4077,5935153.193919133,3541666.6666666665
2016,浜松,浜松,1609,171977.3873020142,145533.33333333334
2016,熱海,熱海,397,90565.9691182446,77266.66666666667
2016,米原,米原,249,57776.19483424852,61466.666666666664
